# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: Z:\Conestoga\Digital design\Labs\Shift Register\VERILOG\nsubburaj_shiftregister_verilog.csv
# Generated on: Thu Nov 25 10:04:22 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLK,Input,,,,PIN_Y27,,,,,,,,,,,,,,
ledr[3],Output,,,,PIN_V25,,,,,,,,,,,,,,
ledr[2],Output,,,,PIN_AA30,,,,,,,,,,,,,,
ledr[1],Output,,,,PIN_AB30,,,,,,,,,,,,,,
ledr[0],Output,,,,PIN_W25,,,,,,,,,,,,,,
sw[7],Input,,,,PIN_AD29,,,,,,,,,,,,,,
sw[6],Input,,,,PIN_AD30,,,,,,,,,,,,,,
sw[5],Input,,,,PIN_AC28,,,,,,,,,,,,,,
sw[4],Input,,,,PIN_AC29,,,,,,,,,,,,,,
sw[3],Input,,,,PIN_AE29,,,,,,,,,,,,,,
sw[2],Input,,,,PIN_AC30,,,,,,,,,,,,,,
sw[1],Input,,,,PIN_AA28,,,,,,,,,,,,,,
sw[0],Input,,,,PIN_AB28,,,,,,,,,,,,,,
